id,Lyric,Emotion
12195,마음이 아파 애써 눈물 삼키고 있는 것 같아,5
4656,And I get high to drown it out,2
13128,소리 없이 내릴게 멀어지던 그 밤,5
578,너도 아는 그런 맘인 거야,0
2678,어디든 살짝 닿고 있으면 편해,1
10654,"""이 밤이 또 지나면 나 혼자만 남아""",4
8890,아마 사람들은 맘의 빈 방 하나조차 남아있지 않나 봐요,4
8955,원래 그런 길을 걷고 있었잖아,4
2437,"""Drinks in the sky",1
1264,차라리 꿈이길 바랐어,0
9602,더는 너 없는 채로 나 살 수가 없어,4
4112,할 수만 있다면 (좀 어색하겠지만),1
348,지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
9686,oh oh lonely night,4
11263,감정이 다 무뎌져 가는 밤,5
9424,지워지지 마,4
222,To another life (Another life Another life),0
3391,기억되길 오늘 지금 바로 여기 멋진 우주와 햇살 또 너를 만나 정말 기뻤다,1
2503,내가 그려보는 딱 한 가지 아이처럼 밝게 웃던 네 얼굴,1
490,지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
4706,She wants me,2
13085,미치도록 운다 (운다),5
11985,미운 만큼 울어보고 애써 털어내봐도,5
8628,I want to die on the dance floor,3
3032,Are you gonna feel the way I feel Are you for real,1
864,제가 당신이 될 수 있을까요,0
6173,정신 없이 커지는 하늘의 불꽃처럼 피어라,2
12160,한숨을 담은 하얀 연기가 입을 나와 목까지 차오른 뱉지 못할 말 대신한다,5
7526,I blew up now everybody tryna sue me,3
7279,해선 안될 말이 있어,3
7714,"""일에 집중이 안 돼""",3
5508,본적도 없는 당신과 함께 가늠할 수 없는 그 날에 만나,2
10556,자꾸만 울고 싶은데 내 옆이 아닌 자리에 너를 보고 있는게 왜 그게 행복한걸까,4
1007,네가 날 욕해도 미친 척 널 불러,0
12591,마음이 아파 애써 눈물 삼키고 있는 것 같아,5
7283,No thanks 좀 삐뚤다고 자를 대니 Think about it,3
5562,"""But I couldn't resist those nights out""",2
6890,"""You a bum bitch so If he broke tell him pava""",3
3961,잠시 사랑했던 너와 나,1
1187,계절은 다시 돌아 오지만 떠나간 내 사랑은 어디에,0
1427,I got my cards folded waiting for you babe,0
4253,너를 사랑해도 될까,1
13067,나는 그녈 잡지 못했죠,5
10847,만남도 헤어짐도 아닌 어색한 마음의 거리,4
6813,말해주려는데 파도 같았던 물살에 못 이겨 너를 놓쳐버릴까,3
12017,"""But damn it I'll miss her""",5
322,어딘가 멀리에,0
7685,"""This party is illegal""",3
6060,깊은 잠을 깨워 구름 위를 걸어가는 기분,2
6391,And I get high to drown it out,2
8840,비어가는 내 가슴 속엔 더 아무 것도 찾을 수 없네,4
6164,"""You\'re across from me And it\'s hard to breathe""",2
8793,"""Don't know what happened Pop pills do what you feel""",3
4976,Two more shots got that pussy wide open,2
365,계절이 지나 눈처럼 내게 온,0
4974,Like a shooting star,2
7533,가지가지 처치곤란한 밤,3
4475,"""Now my veins are pumping""",2
5917,봤는데 내 맘이 떨려와,2
5713,We were a forest fire,2
1855,계절의 밤이 끝나면 그대는 이곳을 떠나,0
12276,내 맘속 가득 피웠던 꽃잎들이 모두 사라져,5
3389,니 맘이 다르면 어떡할까,1
3891,"""I'm more precise""",1
4765,계속 피어라,2
5590,"""come on let's fly through the night""",2
12280,갖고 있긴 너무나도 아팠었지만 그건 그만큼의 사랑이었어,5
6349,더 빛나던 너의 환한 미소,2
12106,어두운 바다를 떠돌아 다니는 부서진 조각배 위에 누윈 내 작은 몸,5
3739,사랑이 내리네,1
10304,나 헷갈려요 같은 일 처음은 아니어도,4
6237,오락가락 왔다 갔다,2
10291,아무도 없는 외로움 속에서 내 마음 어딘가를 들여다보며,4
4214,Are you gonna feel the way I feel Are you for real,1
2260,And give me a start of each for,1
1288,그게 뭐라고 또 생각나,0
13039,내 사랑은 늘 재앙이 되고,5
8516,"""But I\'m still from the trenches""",3
1506,그래도 목표에 집착,0
8973,"""너 없이 내가 살아왔던 시간들을""",4
3900,"""Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 하루가 멀다 하고 Rolling in the deep""",1
12551,"""You started seein\' someone new for a while""",5
3369,So why you playing it cool 두 눈을 가득 채운 blue 있는 그대로 True 느껴진 그대로 다,1
5261,"""Oh 달라지는 네 눈빛 (Hey) 까마득히 높던 벽 넘어 보일게""",2
3203,So why you playing it cool 두 눈을 가득 채운 blue 있는 그대로 True 느껴진 그대로 다,1
2645,따뜻한 봄을 기다리고 싶어,1
239,이미 정해진 그대가 아닐까,0
12024,나는 그녈 잡지 못했죠,5
6768,"""Had to sit you down it\'s a time out""",3
3778,조금씩 더 가까워질 우리가 그려져,1
7225,왜 이렇게 된 건지,3
3183,Soyez pret pour AronChupa et Albatraoz,1
8255,"""Survival Survival Survival""",3
3800,넌 나만의 Baby 영원한 나만의 자기 아주 꼭꼭 숨겨놓고선 나만 볼래,1
4734,And I get high to drown it out,2
910,가끔 그 날의 우릴 생각하나요,0
8732,"""But I\'m still from the trenches""",3
12020,봐 너나 나나 다 끝난 마당에,5
12967,"""I don't wanna be sad""",5
10163,"""We'll never be friends never be friends""",4
12333,아득해진 너와의 결말,5
9095,"""I don't wanna wake up and wonder""",4
7250,"""Girl don't tryna play with me""",3
10287,자꾸만 울고 싶은데 내 옆이 아닌 자리에 너를 보고 있는게 왜 그게 행복한걸까,4
10772,"""So I can't love you""",4
7220,"""I don\'t want you thinking I\'m a cop out""",3
139,창밖을 바라보다 네 생각이나,0
6915,Fxxx that 입 달고 살아,3
12575,"""On nights like these when my willpower's weak""",5
3623,"""Do you wanna? Do-do you wanna feel primadonna like me tonight?""",1
3382,But you still love me TGIF,1
11933,언젠가는 나도 버려질 거야,5
3546,우리 이렇게 서로 사랑,1
8122,제발 이제는 충분한 걸 더이상 나 얼마나 너 때문에 아파해야 해,3
2781,"way in deep""",1
3109,So why you playing it cool 두 눈을 가득 채운 blue 있는 그대로 True 느껴진 그대로 다,1
9678,내가 그녈 더 외롭게 만든 것 땜에,4
10941,걸어도 걸어도 못가는 내가 부르고 불러도 못듣는 너무 먼곳에 있어서,4
11848,"""And that's what makes me want to die""",5
2669,Bun up the dance,1
8311,"""I ain't gonna rush it no lie""",3
2828,봄이 되면 흙으로 남아 혹시 기대해 싹이 될까,1
12212,아무 말도 하지 않은 오늘 울음으로 마쳤어,5
311,옛날의 기억들은 다시 내게 기대를 부풀려보지만 결국 다음은 이러지 않길 바래,0
9782,그대 느낄 수 없나요,4
6388,Forgot it,2
10194,Told myself I let you go,4
10331,때로는 lonely lonely lonely,4
8877,영문도 모른 채 세상 끝에 서있어,4
11947,묻혀 갈 나의 인생아,5
11558,나는 매일 부끄럽다네,5
5896,HWAA 타올라 타올라,2
9942,이젠 기대하지 않아 너의 곁엔 다른 얼굴 다른 모습 뿐야,4
5495,이따가 널 보면 무슨 말을 할까,2
4995,정신차려 보니 네 앞에 와서,2
11541,네가 떠난 뒤 매일 되감던 기억의 조각들 결국 완전히 맞춰지지 못할,5
5601,HWAA 타올라 타올라,2
13161,Sometimes it hurts like growing pain,5
8141,올 것 같던 좋던 일은 오지 않고,3
2812,"""Don't walk away""",1
2943,깜박하고 안 지운 너와 나 그때 모습 여기저기 행복해 보이네,1
7841,익숙해진 아픈 마음들 자꾸 너와 날 놓아주지 않아,3
6330,Yeah another level,2
3473,"""Now we too late Yeah LL Cool drip""",1
771,날 이제 놔줘,0
4741,"""And I\'m like Oh sweet God I think I\'m in trouble Kinda makin\' me wonder what it\'s like on the other side""",2
12543,마지막 인사도 못했던 우리의 이별,5
10392,잊으려고 해도 너 아님 난 어디 기댈 곳이 없어,4
3609,오늘부터 그댈 커피보다 너를 사랑할래요,1
10749,때로는 lonely lonely lonely,4
4893,"""Oh 달라지는 네 눈빛 (Hey) 까마득히 높던 벽 넘어 보일게""",2
5224,"""You've never felt waves this strong""",2
4509,이런 기분은 참 뭐랄까 떨리는 것 같아,2
9100,Play the way you feel it,4
4022,You want it say so,1
5600,누가 좀 말려 눈빛에 찌릿찌릿 감전돼버려,2
10460,손을 뻗어보아도 아무리 둘러봐도 그대 흔적 어디도 보이지 않아,4
7961,Rum rum rum Rumble 다 Crumble,3
861,매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
9726,내가 없이도 행복하지는 마,4
1845,만날 수 없을 줄 알았어,0
12499,"""It's like the older I get""",5
5320,She wants me,2
1315,이제 아무 일도 없단 듯이 날 안아줘,0
11225,I think about when you left me in 2020,5
1405,내 안에 담을 수 없잖아,0
5952,조금에 기대를 걸은 채,2
2103,옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
10187,괜히 허전한 마음에 그냥 울컥했어,4
793,가끔 그 날의 우릴 생각하나요,0
1132,But now you need me so badly,0
5669,밤새 설레 잠 못 드는 게,2
1747,"""어디쯤을 지나는 걸까 매번 똑같이 궁금해도""",0
136,다시 뒤돌아보지 말자 길을 잃어버려서 우릴 갈라놓아도,0
1151,Go back go back,0
13013,우리 사랑 끝나는 날,5
7995,Sometimes I try so hard to fight,3
9046,(못견딜게 세상에 어딨니 울어도 달라진 건 없어),4
10666,We from the Nawf Straight out the dungeons,4
3940,지금은 날 밀어내지는 마,1
3003,혹시 말야 문득 떠올라 너도 내가 궁금해지고 그러다,1
9578,혼자 널 만나기 전보다 아마 조금 더 외로워지겠지만,4
615,가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
4474,혹시 마주치면 어떤 모습일지,2
2430,뒤돌아보면 너무나 소중한 너란 사람이 있기에,1
10228,불러봐도 소리쳐봐도 느낄 수 없는 너의 숨소리,4
10024,내 앨범 온통 니 얘기 뿐인데 너 말고는 할 얘기도 없어,4
3765,꼭 둘이서 추는 춤 같아,1
3357,"""Now that you're here I don't have to wait around""",1
2920,웃고 있는 널 보며 all down,1
2740,나처럼 꿈꾸는 네가,1
8539,매일매일 자라는 사랑을 그녀에게 주는데도 받질 않으니,3
12784,나를 버리지마,5
11155,생각하면 덧없는 꿈일지도 몰라,5
11573,숱한 약속의 끝에 나를 버리고 끝내 떠날 거면서 그런 말은 해서 차라리 잘됐다 싶어,5
281,이 노랜 떠야 돼 널 위해 듣고 있어,0
7155,"""Had to sit you down it\'s a time out""",3
9758,"""To my surprise there\'s no one to blame""",4
9250,"""Think I'm hearing your name everywhere I go""",4
1094,"""I'm so bad at playin' along""",0
7282,But when the lights go low you know I lose control,3
993,무엇이 모자라서 날 떠나가나요,0
12559,Because I know I can’t stay here,5
6028,엉덩이를 흔들어봐.,2
1421,네 모든 게 궁금해 날 봐줄래,0
11637,아파도 좋아 니가 없이는 살수가 없는데,5
2383,"""In a world where nothing\'s what it seems""",1
2192,벌써 2년이 지났지,0
1387,저 나무 위에 핀 작은 한 송이 누가 이곳에 다녀간 걸까,0
1908,우연히 마주침을 바란 적도 있어,0
8998,"""We'll never be friends never be friends""",4
9854,착한 남자들에게 너는 독배 같은 것 마실수록 외로워,4
7469,이럼 나도 못 참아,3
9894,그래서 더 멀어져만 가잖아,4
6595,꽃 같이 내 모든 이성을 무너뜨려요,2
5330,막 설레고 그런다니깐요,2
6112,놀라 가끔씩 튀어나오는 너의 익숙한 말투,2
12049,참 쓸쓸한 일인 것 같아,5
7357,나 혼자선 할 수 있는 게 단 하나도 없어,3
12958,아득해진 너와의 결말,5
9307,이제 다시는 너를 볼 수 없잖아,4
3334,And it’s the light,1
1599,I wanna wanna turn back the time we had,0
8879,부끄러운 비밀을 들켜도 난 여기 있을게요,4
6132,조금 삐걱대고 어설퍼도 즐기며 달릴래,2
6144,I wanna fly,2
5179,손끝이 스친 날 설레임을 기억하네요,2
3034,걸음은 좀 더 가볍게,1
8001,"""It\'s fuckin\' hard yeah""",3
10574,정답 없는 문제는 이 밤에 날 찾아와 쏟아지는 외로움에 마음이 다 젖었는데 말릴 수조차 없네,4
1378,폭우가 그치게 기다릴 필요 이젠 더 없어,0
10683,비가 오는 밤에도 외로웠던 낮에도,4
10661,31. Can anybody see me now?,4
8664,"""You a bum bitch so If he broke tell him pava""",3
7418,"""This has taken me aback""",3
10229,그렇게 믿어야 나만 혼자 외딴 동산에 살아가는 거야,4
2894,너인걸 알아,1
4991,정신 없이 커지는 하늘의 불꽃처럼 피어라,2
4255,Baby 너가 필요해,1
4378,Bun up the dance,1
12074,마음과는 달리 식어버린 관계에 이별이 실감 나,5
13074,"""이제는 Goodbye""",5
12265,안 된다는 말보다 늦었다는 그 말이 아파,5
13030,My heart (Oh oh),5
4948,She wants me,2
3662,널 향한 마음은 사랑이었나 봐,1
12342,사치스러운 눈물로 동정을 산 후 그 빚은 다음 사람이 대신 갚는 그 reason,5
6306,넌 내 꿈만 꿔 LALALALILALA,2
9802,31. Can anybody see me now?,4
6176,매 순간 처음인 듯 일어날 나이길,2
2481,우린 같이 많이 웃었을 거야,1
3777,I like you I do,1
5478,그게 밤늦게라도,2
8909,걸어도 걸어도 못가는 내가 부르고 불러도 못듣는 너무 먼곳에 있어서,4
6611,너의 벨이 울리면,2
12823,빛을 잃은 사랑도,5
5894,누가 좀 말려 눈빛에 찌릿찌릿 감전돼버려,2
2673,So why you playing it cool 두 눈을 가득 채운 blue 있는 그대로 True 느껴진 그대로 다,1
13241,"""Bubbles Drownin' you're seein' doubles""",5
10569,공기도 내 맘을 주체 못하는 밤,4
8264,Hello stuP I D 그 선 넘으면 정색이야,3
1967,네가 없인 움직이지를 않네 이미 우주가 된 이 내 마음은,0
5716,Run away run away run away with me,2
10408,그저 짓밟혀가네 짓밟혀져가네,4
4045,가까운 그대와 내 숨결이 지금 모든 걸 느낄 수 있게,1
9483,제발 가지마,4
7610,몇번을 말하려 했는데 (자꾸 입이) 떨어지지가 않아,3
7803,"""Won't you try and have some mercy on me?""",3
10944,당신은 도대체가 누구 시길레,4
1800,Been always on my mind 널 내안에,0
6407,그대 모르게 어느새 그대로 가득 채워낸 내 가슴에 두근거리는 떨림이 그대로 전해질까 봐,2
12526,오늘따라 유난스러 너의 속삭임 너의 손길은 이젠 없는데,5
8886,사람 없는 한강은 무서워요,4
1448,너의 이름 한 번쯤 부르는 게 지금처럼 아프지 않을 거야,0
11561,"""When the cameras come out",5
6857,깨버리기 싫어,3
1949,언제부턴가 가끔 너와 마주칠 때마다 한참을 머뭇거린 어설픈 손 인사만,0
12792,돌이킬 수는 없겠지 우리의 숨가쁜 지난 날 애써 지우려 했던 슬픔이 끝나기 전에는,5
11308,너 없인 안되는 날 알면서 그렇게 꼭 나를 떠나야만 했니,5
8892,"""Can't stay""",4
9855,너 가면 안돼 전에 말했잖아,4
1271,기억 달 밝은 날에 하늘을 보면 우리 상처들이 떠 있고,0
8297,지루해 널 기다리는건 시계초침 소리만 들려와,3
11107,"""Bubbles Drownin' you're seein' doubles""",5
10859,걸어도 걸어도 못가는 내가 부르고 불러도 못듣는 너무 먼곳에 있어서,4
11006,잊으려고 해도 너 아님 난 어디 기댈 곳이 없어,4
10284,떠들기 바쁜 세상 속에 갇혀 헤매고 싶지는 않아,4
4565,난 너를 보면 Woah woah,2
5369,우연히 내게 오나봐,2
3965,난 너 하나만 생각해 이렇게 난 자꾸만 입 맞추고 말해!,1
7870,내가 나를 알 수 없어서 이 모든 게 다 두려워 하지만,3
6532,말도 안 돼 어쩜 좋아,2
6231,And I get high to drown it out,2
5923,부푸는 가슴 (hot),2
4869,One step two step And three step your so lovely With you,2
620,우리 서로 멀리 돌아온 만큼 널 사랑하고 싶은데,0
5972,있잖아요,2
295,내 미래에는 너 없는 곳을 찾을 수가 없는데 내가 어떻게 너 없이 하루를 살아갈까요,0
2240,너와 함께 하고 싶은 일들을 상상하는 게 요즘 내 일상이 되고,1
5230,두눈을 감으면 괜시리 설레죠 두근거리죠 입가에 번지는 미소도 신기한 일이죠,2
7264,있으려고 그저 가만있기 싫어,3
7,내 생각해주오,0
2738,Oh Oh Oh Oh Oh Oh Oh 너랑 듣고 싶어,1
10857,빈 창가에 누워,4
3798,오 사랑은 동화처럼 아름다울 순 없는가요,1
7712,"""But I\'m still from the trenches""",3
13032,이제는 지나간 내 슬픈 얘기인 걸,5
3531,잠시 사랑했던 너와 나,1
11652,눈물이 툭 들었다 놨다,5
575,Looking all my life,0
5017,괜히 혼자 설레서 또 아무 말 못 하고,2
579,Without it 그토록 원해왔던 건,0
985,사랑한다는 한마디도 못하고 바보처럼 네 곁을 서성이다가,0
12934,바보같이 이런 내 속도 모르고 그 사람이 날 떠나네요,5
9380,아니 날 보고 있지 않을까,4
9311,그러니 떠나가 아무 미련 없이 멀어질 수 있게,4
12609,언젠가 아파할 날도 있겠지,5
1248,"""How could you go away? You know what I wish for""",0
3233,사랑하자 안 해봤던 것처럼,1
1772,뭐 언젠가 우리도 멀어질 거란 건 말 안 해도 다 아는데,0
8229,이런 장난은 재미없어,3
1428,내려오는 이 비를 맞으면 가슴속에 너의 추억이 자란다,0
32,I got my cards folded waiting for you babe,0
5899,"t-t-take it off""",2
1827,But now you need me so badly,0
553,Were you feeling left out?,0
12983,"""I\'m terrified You\'ll turn around and say goodbye""",5
536,Save yourself,0
2104,I wanna wanna turn back the time we had,0
11950,나는 너의 우울을,5
5310,하고 전화를 할까 말까,2
2063,네 모든 게 궁금해 날 봐줄래,0
6511,우연히 내게 오나봐,2
4194,따뜻한 봄을 기다리고 싶어,1
2179,너의 맘속에 매일 찾아가,0
1929,그때로 돌아간다면 우린 그대롤까,0
8940,겉으론 내 편인데 못해 이해,4
525,네게 전화걸까 말까 고민하는 나,0
11882,많이 아플 테지만 언젠가는 해야겠지,5
3990,안녕 나의 주인공 그래 너를 만나러 나 짜잔,1
8377,만남은 쉽고 이별은 어려워,3
7408,"""이제와 뭘 해도 넌 Nothing (Nothing to say) 크게 의미 없는 Punch 시작부터 차이 나는 Game Always winning never lose 뻔히 보이는 Plot (What's coming) 너의 결말은 Knock down yeah""",3
8147,난 점점 네가 좋아진단 말이야,3
3125,Suzi wants her all day sucker,1
86,넌 벌써 날 다 잊었니,0
11978,이러다가 죽어도 좋아,5
8872,도망가듯 귀를 막아 버렸나 봐,4
7162,"""자신 없으면 저 뒤로 뒤로 뒤로 물러서면 되지 왜 자꾸 떠드니 네 속이 훤히 보이는 건 아니""",3
1052,난 그저 멀리서 숨어서 너의 모습을 바라보아도 행복했어,0
126,다시는 없을 거라면 이젠 보내줄게,0
12724,그렇게 마치 없던 일처럼,5
3321,꿈만 같은 우리를 천천히 천천히 만들어요,1
1850,사랑한다는 한마디도 못하고 바보처럼 네 곁을 서성이다가,0
12916,이젠 어떡해야 해,5
2960,One thing I miss at the center of my heart,1
12362,아플 걸 알잖아,5
9076,잘 들어 봐 이것 봐 멋진 환상 속에 날 가두고,4
8406,사랑은 무슨 헛소리야,3
9240,괜히 우리 멀어질까 나는 아무것도 못해 (나는 아무것도 못해),4
12469,그러니까 슬슬,5
13182,어두운 바다를 떠돌아 다니는 부서진 조각배 위에 누윈 내 작은 몸,5
12966,네 앞에서 무너져 그래,5
9656,15. Can you see me now?,4
2537,사랑이 내리네,1
4490,"""come on let's fly through the night""",2
8006,Head ah mash-up,3
11204,날 떠난 니가 정말 미워,5
9528,누구나 혼자 인생 혼자 인생 혼자 혼자 아아아아,4
8182,Hello stuP I D 그 선 넘으면 정색이야,3
292,시간이 더디게만 흐르면 좋을 텐데,0
10775,그대 없는 이 밤하늘 별자리엔 별도 뜨질 않는 걸요,4
4970,가끔 얼핏 보면 짜릿해,2
2587,그러니 나와 같을 거라고 말해줘 어린애같이 유치한 날 달래줘,1
18,걱정은 멀리멀리 다 날아가는 듯해 (사라진 듯해),0
2033,Without it 그토록 원해왔던 건,0
3803,I want you to know,1
2227,뻔한 일상이라도 너와 함께 있으면 그 어떤 영화보다 영화 같아,1
258,같이 듣던 그 노래처럼,0
6146,"""It's getting too old",2
10956,너의 하루와 나의 하루의 시간이 같지 않더라,4
10734,"""Day by day I'm just a little lonely""",4
8433,네가 가끔 불편하대,3
5618,You make me dream make me dream make me girl,2
6052,눈이 가려 앞이 안 보여 난 너에게 빠진 바보야,2
2968,난 너를 원해,1
13018,여린 가슴가슴이 무너져 내리는걸 모르고,5
5834,I told you long ago on the road I got what they waiting for,2
1521,무렇지 않게 돌아올 것 같단 말이야,0
1273,난 그저 멀리서 숨어서 너의 모습을 바라보아도 행복했어,0
6937,"""A hundred percent of you is A fifth of a percent of me""",3
5659,I told you long ago on the road I got what they waiting for,2
9716,"""To my surprise there\'s no one to blame""",4
9957,내 집착이 널 망치게 돼,4
8726,"""It\'s fuckin\' hard yeah""",3
900,시간 지나면 혹시 나를 봐줄까,0
5239,졸업하기 전날 많이 울던 너 남자라고 꾹 참던 너 하고 싶었던 말 못하고 뜨거웠던 그 여름처럼,2
6799,왜 이제야 나왔어,3
4346,그 눈빛도 그 웃음도 예전과 똑같네요,1
3709,"to let yourself slide""",1
11965,아나요 얼마나 힘겨운지 침묵이 무엇을 말하는지,5
12393,생각을 하나 둘씩 정리하다 보면 마음이 하나 둘씩 지워지는 걸요,5
887,폭우가 그치게 기다릴 필요 이젠 더 없어,0
1903,지난 날과 오는 날의 사이에 서서,0
237,네 맘도 이렇게 나와 같다는 걸 이제 알 것 같은데,0
2264,이제 와 말하자면 I wanna say that I love you,1
6548,"""6. Missionary or doggystyle I'ma top shit""",2
12601,생각을 하나 둘씩 정리하다 보면 마음이 하나 둘씩 지워지는 걸요,5
11993,"""I know you feel lost it's my fault completely""",5
11439,I wanna be in love,5
8514,나를 보고 웃기라도 하는 날엔 하루 종일 아무것도 할 수 없네,3
7346,왜 이제야 나왔어,3
6141,내 숨이 숨이 숨이 숨이 (학 학),2
5857,너를 다시 보면 내가 무너지고 흔들리니까,2
3265,너와 함께 하고 싶은 일들을 상상하는 게 요즘 내 일상이 되고,1
275,내 안에 담을 수 없잖아,0
3680,가까운 그대와 내 숨결이 지금 모든 걸 느낄 수 있게,1
7172,"""I can't even tell""",3
8273,"""I said I I I don't give a fuck""",3
2381,그대 나의 눈을 바라본다면,1
11078,언제나 나의 곁에 영원할 것 같았던 그 사람이 날 두고 가네요,5
6883,깨깨깨깨깨깨깨깨 깨깨깨깨깨,3
9159,그러니 떠나가 아무 미련 없이 멀어질 수 있게,4
9239,혼자 손 따는 것도 어려워요,4
1499,널 보고싶어서 소리쳐 불러요,0
9316,그렇게 믿어야 나만 혼자 외딴 동산에 살아가는 거야,4
7584,나는 매일 끝이 올까 봐 맘을 숨기죠,3
11668,내 눈물 나는 사랑아 같은 아픔에 머물 수 있게,5
5665,복도 끝까지 달려갈 준비,2
8987,공기도 내 맘을 주체 못하는 밤,4
10306,31. Can anybody see me now?,4
1651,같이 듣던 그 노래처럼,0
5820,You make me dream make me dream make me girl,2
10347,아직 그대로 남은 나만 내게 또 매달려도 이젠 의미없어,4
1314,"""I can\'t sleep without you""",0
8221,"""Obliterating everything incinerate And renegade \'em""",3
7007,아잇 작정하고 나와라,3
1419,이 계절이 오면 바람과 함께 찾아오니까,0
7208,"""Survival Survival Survival""",3
4513,너와의 추억을 난 기억할께,2
11433,생각을 하나 둘씩 정리하다 보면 마음이 하나 둘씩 지워지는 걸요,5
10881,밖을 나와 혼자 걷다 보니,4
12843,너란 대답이 이젠 돌아설 수 없어,5
8558,왜 이제야 나왔어,3
9238,언젠가 후회해도 사실 벌써 그렇지만 내겐 이젠 아무도 필요 없다 되뇌이네,4
5425,말도 안 돼 어쩜 좋아,2
9568,날도 저무는데 아무도 없는데,4
9679,그렇게 믿어야 나만 혼자 외딴 동산에 살아가는 거야,4
551,I got my cards folded waiting for you babe,0
10614,One last time,4
12274,내가 한심하다거나 우울해 보이거나,5
5824,남몰래 몰래 설레었네,2
9466,니가 없는 나의 세상은 앞이 보이질 않아,4
11133,돌아온다고 나에게 돌아오고 있다고,5
778,다시는 없을 거라면 이젠 보내줄게,0
8121,Head ah mash-up,3
10864,텅 비어버릴래,4
8468,"""Girl don't tryna play with me""",3
5831,Prada,2
5519,"""You've never felt waves this strong""",2
9427,착한 남자들에게 너는 독배 같은 것 마실수록 외로워,4
4867,반격의 서막 Uh,2
1207,그대까지 날 그만 잊어요,0
1018,너의 이름 한 번쯤 부르는 게 지금처럼 아프지 않을 거야,0
7537,피곤하니 쉬어야겠다며 짜증 섞인 말투로,3
8227,"""And it\'s all out of tune""",3
13139,"""'Cause days turn into nights like these""",5
2508,행복이란 이름의 큰 병,1
1487,계절이 지나 눈처럼 내게 온,0
12844,"""Yeah I\'m gonna feel broken for a bit""",5
5734,"""I\'m falling again""",2
8876,아니 내가 외로운건 너랑 아무 상관없어,4
7040,이러면 안 될 거 아는데 너 앞에만 서면 나락,3
8046,"now a nigga gotta shame you""",3
12332,긴 밤을 나 혼자 흘려보내기엔 아쉬워,5
12432,궤도를 벗어난 행성 이별에 우린 부딪히려 해,5
6772,그래 나 독한 맘으로 널 버리려 했어,3
7960,"""I\'m your worst nightmare stood over your bed""",3
3949,So why you playing it cool 두 눈을 가득 채운 blue 있는 그대로 True 느껴진 그대로 다,1
5435,안갯속에 계속 걸어가,2
1034,Really thought I knew you so well (So well),0
5082,Got me going crazy like yeah,2
3813,Boy I’m your butterfly I’m your butterfly 내게 좀 더,1
2385,Oh 너와의 추억들로 가득 채울래 (Come on),1
5563,꽃 같이 내 모든 이성을 무너뜨려요,2
7936,제발 이제는 충분한 걸 더이상 나 얼마나 너 때문에 아파해야 해,3
4629,그댄 Violin 지금 시간 새벽 Twlv Bebe you know what I mean?,2
1430,다시봐 니 옆에서 내 모습을,0
4269,You let me come first,1
