round,date,num_winners,reward,first,second,third,fourth,fifth,sixth,bonus,win
962,2021.05.08,0,0,10,12,37,33,6,32,9,0
961,2021.05.01,9,2575231209,11,20,29,31,33,42,43,1
961,2021.05.01,0,0,40,18,10,7,44,20,38,0
960,2021.04.24,10,2401133213,2,18,24,30,32,45,14,1
960,2021.04.24,0,0,31,16,45,19,24,39,3,0
959,2021.04.17,8,3015312891,1,14,15,24,40,41,35,1
959,2021.04.17,0,0,34,5,8,6,29,16,11,0
958,2021.04.10,15,1596119675,2,9,10,16,35,37,1,1
958,2021.04.10,0,0,7,11,1,21,45,39,18,0
957,2021.04.03,11,2126634137,4,15,24,35,36,40,1,1
957,2021.04.03,0,0,14,4,24,16,8,1,41,0
956,2021.03.27,11,2022982671,10,11,20,21,25,41,40,1
956,2021.03.27,0,0,33,20,3,2,11,14,36,0
955,2021.03.20,12,2023170188,4,9,23,26,29,33,8,1
955,2021.03.20,0,0,22,40,2,1,29,25,39,0
954,2021.03.13,10,2478795900,1,9,26,28,30,41,32,1
954,2021.03.13,0,0,40,2,29,33,19,5,44,0
953,2021.03.06,14,1640636009,7,9,22,27,37,42,34,1
953,2021.03.06,0,0,10,33,22,18,2,25,14,0
952,2021.02.27,9,2713699834,4,12,22,24,33,41,38,1
952,2021.02.27,0,0,34,11,41,40,12,8,26,0
951,2021.02.20,14,1747552661,2,12,30,31,39,43,38,1
951,2021.02.20,0,0,14,35,23,18,8,34,4,0
950,2021.02.13,8,3281920500,3,4,15,22,28,40,10,1
950,2021.02.13,0,0,10,9,42,40,29,41,28,0
949,2021.02.06,10,2458569713,14,21,35,36,40,44,30,1
949,2021.02.06,0,0,36,13,21,19,5,17,2,0
948,2021.01.30,11,2188548716,13,18,30,31,38,41,5,1
948,2021.01.30,0,0,7,9,16,21,42,34,39,0
947,2021.01.23,18,1275855750,3,8,17,20,27,35,26,1
947,2021.01.23,0,0,23,29,1,2,13,25,28,0
946,2021.01.16,11,2157656182,9,18,19,30,34,40,20,1
946,2021.01.16,0,0,5,12,28,33,16,40,42,0
945,2021.01.09,13,1765554491,9,10,15,30,33,37,26,1
945,2021.01.09,0,0,32,8,6,24,35,7,5,0
944,2021.01.02,13,1961836356,2,13,16,19,32,33,42,1
944,2021.01.02,0,0,26,20,30,17,10,15,36,0
943,2020.12.26,7,3435045108,1,8,13,36,44,45,39,1
943,2020.12.26,0,0,19,15,13,30,41,1,25,0
942,2020.12.19,6,3761680313,10,12,18,35,42,43,39,1
942,2020.12.19,0,0,20,32,17,34,2,11,6,0
941,2020.12.12,16,1347297422,12,14,25,27,39,40,35,1
941,2020.12.12,0,0,36,28,15,39,32,19,10,0
940,2020.12.05,8,2846071079,3,15,20,22,24,41,11,1
940,2020.12.05,0,0,23,12,18,42,45,17,40,0
939,2020.11.28,13,1708363039,4,11,28,39,42,45,6,1
939,2020.11.28,0,0,29,20,33,37,4,32,22,0
938,2020.11.21,10,2249466563,4,8,10,16,31,36,9,1
938,2020.11.21,0,0,28,14,41,7,4,1,36,0
937,2020.11.14,11,2058420819,2,10,13,22,29,40,26,1
937,2020.11.14,0,0,33,21,5,32,20,23,17,0
936,2020.11.07,14,1492069179,7,11,13,17,18,29,43,1
936,2020.11.07,0,0,6,38,34,10,45,29,16,0
935,2020.10.31,13,1711055424,4,10,20,32,38,44,18,1
935,2020.10.31,0,0,6,24,2,8,23,7,32,0
934,2020.10.24,4,5765772844,1,3,30,33,36,39,12,1
934,2020.10.24,0,0,42,23,40,4,6,21,19,0
933,2020.10.17,8,2927797079,23,27,29,31,36,45,37,1
933,2020.10.17,0,0,7,14,44,15,9,11,30,0
932,2020.10.10,7,3390022983,1,6,15,36,37,38,5,1
932,2020.10.10,0,0,5,43,3,7,15,12,42,0
931,2020.10.03,8,2957108063,14,15,23,25,35,43,32,1
931,2020.10.03,0,0,8,45,18,41,32,38,36,0
930,2020.09.26,8,2832418829,8,21,25,38,39,44,28,1
930,2020.09.26,0,0,11,21,40,37,39,18,28,0
929,2020.09.19,16,1308035157,7,9,12,15,19,23,4,1
929,2020.09.19,0,0,5,18,44,20,6,32,19,0
928,2020.09.12,7,3134591358,3,4,10,20,28,44,30,1
928,2020.09.12,0,0,7,33,20,32,1,10,41,0
927,2020.09.05,6,3714203875,4,15,22,38,41,43,26,1
927,2020.09.05,0,0,2,38,42,45,17,19,13,0
926,2020.08.29,10,2032490663,10,16,18,20,25,31,6,1
926,2020.08.29,0,0,44,20,32,18,43,10,14,0
925,2020.08.22,12,1771080532,13,24,32,34,39,42,4,1
925,2020.08.22,0,0,12,14,1,29,42,30,43,0
924,2020.08.15,9,2382430667,3,11,34,42,43,44,13,1
924,2020.08.15,0,0,36,42,45,12,35,23,37,0
923,2020.08.08,8,2667554625,3,17,18,23,36,41,26,1
923,2020.08.08,0,0,14,13,5,20,44,34,40,0
922,2020.08.01,6,3417904500,2,6,13,17,27,43,36,1
922,2020.08.01,0,0,24,13,32,42,6,30,10,0
921,2020.07.25,17,1232573405,5,7,12,22,28,41,1,1
921,2020.07.25,0,0,12,10,15,44,16,30,32,0
920,2020.07.18,7,3120260197,2,3,26,33,34,43,29,1
920,2020.07.18,0,0,34,18,39,26,16,22,2,0
919,2020.07.11,5,4305150450,9,14,17,18,42,44,35,1
919,2020.07.11,0,0,30,39,36,26,40,35,7,0
918,2020.07.04,18,1117622646,7,11,12,31,33,38,5,1
918,2020.07.04,0,0,2,28,16,6,26,29,33,0
917,2020.06.27,10,2144799638,1,3,23,24,27,43,34,1
917,2020.06.27,0,0,19,23,21,33,20,31,25,0
916,2020.06.20,11,2025384341,6,21,22,32,35,36,17,1
916,2020.06.20,0,0,10,35,13,41,8,3,21,0
915,2020.06.13,6,3518640500,2,6,11,13,22,37,14,1
915,2020.06.13,0,0,30,26,28,20,24,29,32,0
914,2020.06.06,11,1950005557,16,19,24,33,42,44,27,1
914,2020.06.06,0,0,23,39,21,32,42,26,7,0
913,2020.05.30,16,1338755602,6,14,16,21,27,37,40,1
913,2020.05.30,0,0,17,44,29,30,15,14,43,0
912,2020.05.23,14,1493500581,5,8,18,21,22,38,10,1
912,2020.05.23,0,0,44,3,40,37,42,6,30,0
911,2020.05.16,10,2113538625,4,5,12,14,32,42,35,1
911,2020.05.16,0,0,22,16,42,3,23,1,26,0
910,2020.05.09,21,941316375,1,11,17,27,35,39,31,1
910,2020.05.09,0,0,42,13,14,27,6,34,37,0
909,2020.05.02,11,2021062875,7,24,29,30,34,35,33,1
909,2020.05.02,0,0,39,15,29,21,4,13,22,0
908,2020.04.25,8,2834856141,3,16,21,22,23,44,30,1
908,2020.04.25,0,0,6,39,10,35,32,31,12,0
907,2020.04.18,7,3165059036,21,27,29,38,40,44,37,1
907,2020.04.18,0,0,23,44,4,5,17,38,26,0
906,2020.04.11,9,2472607250,2,5,14,28,31,32,20,1
906,2020.04.11,0,0,26,9,43,24,17,23,32,0
905,2020.04.04,7,3017862536,3,4,16,27,38,40,20,1
905,2020.04.04,0,0,3,18,31,17,39,30,45,0
904,2020.03.28,8,2718077813,2,6,8,26,43,45,11,1
904,2020.03.28,0,0,13,42,3,21,7,37,35,0
903,2020.03.21,13,1684582212,2,15,16,21,22,28,45,1
903,2020.03.21,0,0,13,5,17,18,31,33,37,0
902,2020.03.14,13,1619317529,7,19,23,24,36,39,30,1
902,2020.03.14,0,0,35,38,40,7,32,9,21,0
901,2020.03.07,9,2267974667,5,18,20,23,30,34,21,1
901,2020.03.07,0,0,19,44,41,8,34,12,23,0
900,2020.02.29,6,3349851375,7,13,16,18,35,38,14,1
900,2020.02.29,0,0,27,11,5,39,3,42,31,0
899,2020.02.22,6,3359356063,8,19,20,21,33,39,37,1
899,2020.02.22,0,0,9,39,3,24,42,38,26,0
898,2020.02.15,8,2639313235,18,21,28,35,37,42,17,1
898,2020.02.15,0,0,15,3,40,42,9,41,7,0
897,2020.02.08,13,1619922520,6,7,12,22,26,36,29,1
897,2020.02.08,0,0,38,11,10,19,23,26,7,0
896,2020.02.01,7,3053222036,5,12,25,26,38,45,23,1
896,2020.02.01,0,0,17,23,33,3,4,31,36,0
895,2020.01.25,12,1928079219,16,26,31,38,39,41,23,1
895,2020.01.25,0,0,32,19,8,33,25,16,23,0
894,2020.01.18,9,2377935959,19,32,37,40,41,43,45,1
894,2020.01.18,0,0,23,18,34,16,2,25,38,0
893,2020.01.11,9,2377433625,1,15,17,23,25,41,10,1
893,2020.01.11,0,0,20,5,25,34,8,40,17,0
892,2020.01.04,17,1282017464,4,9,17,18,26,42,36,1
892,2020.01.04,0,0,26,7,40,15,38,9,3,0
891,2019.12.28,7,3082673947,9,13,28,31,39,41,19,1
891,2019.12.28,0,0,13,21,29,4,6,40,18,0
890,2019.12.21,9,2335486167,1,4,14,18,29,37,6,1
890,2019.12.21,0,0,9,20,6,3,28,19,40,0
889,2019.12.14,10,2108986950,3,13,29,38,39,42,26,1
889,2019.12.14,0,0,38,26,36,42,6,33,21,0
888,2019.12.07,8,2370359204,3,7,12,31,34,38,32,1
888,2019.12.07,0,0,8,17,10,39,22,24,45,0
887,2019.11.30,8,2535268688,8,14,17,27,36,45,10,1
887,2019.11.30,0,0,35,4,43,25,21,37,32,0
886,2019.11.23,7,2974643786,19,23,28,37,42,45,2,1
886,2019.11.23,0,0,34,27,17,25,29,19,33,0
885,2019.11.16,13,1543832568,1,3,24,27,39,45,31,1
885,2019.11.16,0,0,16,23,12,13,8,15,3,0
884,2019.11.09,12,1799077282,4,14,23,28,37,45,17,1
884,2019.11.09,0,0,4,3,32,42,6,7,30,0
883,2019.11.02,15,1360519525,9,18,32,33,37,44,22,1
883,2019.11.02,0,0,42,24,25,5,1,13,18,0
882,2019.10.26,5,4127270400,18,34,39,43,44,45,23,1
882,2019.10.26,0,0,7,43,35,27,3,41,40,0
881,2019.10.19,8,2503212282,4,18,20,26,27,32,9,1
881,2019.10.19,0,0,22,23,6,9,10,8,27,0
880,2019.10.12,7,2837810465,7,17,19,23,24,45,38,1
880,2019.10.12,0,0,39,6,18,17,26,37,20,0
879,2019.10.05,6,3206361313,1,4,10,14,15,35,20,1
879,2019.10.05,0,0,1,26,40,45,24,5,37,0
878,2019.09.28,6,3207993500,2,6,11,16,25,31,3,1
878,2019.09.28,0,0,22,9,31,17,1,15,24,0
877,2019.09.21,12,1716607188,5,17,18,22,23,43,12,1
877,2019.09.21,0,0,37,41,23,17,8,6,28,0
876,2019.09.14,19,1090657856,5,16,21,26,34,42,24,1
876,2019.09.14,0,0,27,31,18,39,24,20,4,0
875,2019.09.07,14,1415946724,19,22,30,34,39,44,36,1
875,2019.09.07,0,0,42,39,6,12,36,38,26,0
874,2019.08.31,18,1117123917,1,15,19,23,28,42,32,1
874,2019.08.31,0,0,34,45,4,3,29,12,27,0
873,2019.08.24,10,1874553225,3,5,12,13,33,39,38,1
873,2019.08.24,0,0,12,31,16,44,21,18,28,0
872,2019.08.17,16,1262705579,2,4,30,32,33,43,29,1
872,2019.08.17,0,0,28,4,19,31,1,38,42,0
871,2019.08.10,7,2718071358,2,6,12,26,30,34,38,1
871,2019.08.10,0,0,31,30,28,2,43,7,4,0
870,2019.08.03,10,1928842988,21,25,30,32,40,42,31,1
870,2019.08.03,0,0,27,38,36,10,12,17,8,0
869,2019.07.27,10,1922582588,2,6,20,27,37,39,4,1
869,2019.07.27,0,0,21,2,34,28,24,12,36,0
868,2019.07.20,6,3233804250,12,17,28,41,43,44,25,1
868,2019.07.20,0,0,20,14,37,34,24,21,22,0
867,2019.07.13,5,3933755250,14,17,19,22,24,40,41,1
867,2019.07.13,0,0,44,16,30,45,39,9,34,0
866,2019.07.06,9,2240409000,9,15,29,34,37,39,12,1
866,2019.07.06,0,0,22,20,23,33,19,3,39,0
865,2019.06.29,13,1551729145,3,15,22,32,33,45,2,1
865,2019.06.29,0,0,7,31,39,28,29,20,40,0
864,2019.06.22,11,1716553637,3,7,10,13,25,36,32,1
864,2019.06.22,0,0,4,20,19,37,16,36,39,0
863,2019.06.15,7,2853357322,16,21,28,35,39,43,12,1
863,2019.06.15,0,0,29,21,4,40,20,43,42,0
862,2019.06.08,9,2190922709,10,34,38,40,42,43,32,1
862,2019.06.08,0,0,41,21,11,45,39,22,20,0
861,2019.06.01,4,4872108844,11,17,19,21,22,25,24,1
861,2019.06.01,0,0,39,17,45,28,21,36,27,0
860,2019.05.25,10,1879899825,4,8,18,25,27,32,42,1
860,2019.05.25,0,0,33,21,17,28,23,42,45,0
859,2019.05.18,11,1853927489,8,22,35,38,39,41,24,1
859,2019.05.18,0,0,44,13,38,6,45,16,28,0
858,2019.05.11,9,2202347459,9,13,32,38,39,43,23,1
858,2019.05.11,0,0,16,9,31,8,14,43,22,0
857,2019.05.04,15,1284915425,6,10,16,28,34,38,43,1
857,2019.05.04,0,0,19,32,1,3,35,20,25,0
856,2019.04.27,5,3977927550,10,24,40,41,43,44,17,1
856,2019.04.27,0,0,43,1,38,16,29,17,42,0
855,2019.04.20,9,2269510500,8,15,17,19,43,44,7,1
855,2019.04.20,0,0,11,15,35,5,1,36,27,0
854,2019.04.13,6,3421706750,20,25,31,32,36,43,3,1
854,2019.04.13,0,0,42,12,18,9,29,44,31,0
853,2019.04.06,7,2885006786,2,8,23,26,27,44,13,1
853,2019.04.06,0,0,12,21,22,7,35,28,17,0
852,2019.03.30,4,4801543407,11,17,28,30,33,35,9,1
852,2019.03.30,0,0,6,2,4,36,30,1,42,0
851,2019.03.23,8,2483692313,14,18,22,26,31,44,40,1
851,2019.03.23,0,0,8,35,6,1,44,5,36,0
850,2019.03.16,6,3377587875,16,20,24,28,36,39,5,1
850,2019.03.16,0,0,20,7,13,30,21,38,3,0
849,2019.03.09,17,1158252883,5,13,17,29,34,39,3,1
849,2019.03.09,0,0,23,39,25,22,32,15,5,0
848,2019.03.02,7,3011580858,1,2,16,22,38,39,34,1
848,2019.03.02,0,0,38,36,24,40,33,17,9,0
847,2019.02.23,8,2520846657,12,16,26,28,30,42,22,1
847,2019.02.23,0,0,45,29,28,24,9,32,4,0
846,2019.02.16,13,1596884395,5,18,30,41,43,45,13,1
846,2019.02.16,0,0,20,8,30,17,5,44,21,0
845,2019.02.09,11,1891217182,1,16,29,33,40,45,6,1
845,2019.02.09,0,0,27,12,9,10,28,21,38,0
844,2019.02.02,18,1162963542,7,8,13,15,33,45,18,1
844,2019.02.02,0,0,4,32,1,30,8,7,29,0
843,2019.01.26,5,4012970100,19,21,30,33,34,42,4,1
843,2019.01.26,0,0,16,28,29,39,36,1,24,0
842,2019.01.19,10,2035475025,14,26,32,36,39,42,38,1
842,2019.01.19,0,0,16,35,3,2,6,25,7,0
841,2019.01.12,17,1116095714,5,11,14,30,33,38,24,1
841,2019.01.12,0,0,6,21,16,20,26,15,38,0
840,2019.01.05,10,2042961788,2,4,11,28,29,43,27,1
840,2019.01.05,0,0,28,3,36,5,37,40,21,0
839,2018.12.29,13,1359454904,3,9,11,12,13,19,35,1
839,2018.12.29,0,0,9,5,1,16,39,23,31,0
838,2018.12.22,5,3813733050,9,14,17,33,36,38,20,1
838,2018.12.22,0,0,38,40,41,27,1,28,10,0
837,2018.12.15,6,3144449125,2,25,28,30,33,45,6,1
837,2018.12.15,0,0,9,39,16,20,28,12,15,0
