Date,rBH,rSP,SmB,HmL
1/6/2016,0.024941543,0.000910921,0.006,-0.0148
1/7/2016,-0.004493605,0.035609801,0.0251,-0.0127
1/8/2016,0.045185185,-0.001219243,0.0118,0.0313
1/9/2016,-0.042257264,-0.001234451,0.0213,-0.0123
1/10/2016,-0.002404958,-0.019425679,-0.0442,0.0412
1/11/2016,0.098748261,0.034174522,0.0567,0.0819
1/12/2016,0.030046414,0.018200762,0.0008,0.0356
1/1/2017,0.007615076,0.017884358,-0.0114,-0.0276
1/2/2017,0.045206927,0.03719816,-0.0202,-0.0168
1/3/2017,-0.028199144,-0.000389197,0.0114,-0.0332
1/4/2017,-0.008284971,0.009091209,0.0072,-0.021
1/5/2017,0.002663653,0.011576251,-0.0252,-0.0378
1/6/2017,0.025197231,0.004813775,0.0223,0.0148
1/7/2017,0.031747154,0.019348826,-0.0146,-0.0024
1/8/2017,0.032969793,0.000546433,-0.0167,-0.0209
1/9/2017,0.012120096,0.019302979,0.0446,0.0312
1/10/2017,0.020856082,0.022188135,-0.0193,0.0021
1/11/2017,0.039326844,0.028082628,-0.0058,-0.0008
1/12/2017,0.020926244,0.00983163,-0.0132,0.0005
1/1/2018,0.086609543,0.056178704,-0.0315,-0.0133
1/2/2018,-0.040587553,-0.038947372,0.0023,-0.0107
1/3/2018,-0.035938759,-0.026884499,0.0405,-0.0023
1/4/2018,-0.028251421,0.002718775,0.0114,0.0054
1/5/2018,-0.011869947,0.021608342,0.0526,-0.0318
1/6/2018,-0.017966574,0.004842436,0.0115,-0.0233
1/7/2018,0.069174585,0.036021556,-0.0222,0.0047
1/8/2018,0.047255845,0.030263211,0.0112,-0.0399
1/9/2018,0.013299557,0.004294287,-0.0228,-0.0169
1/10/2018,-0.038421875,-0.069403356,-0.0477,0.0344
1/11/2018,0.059456297,0.017859357,-0.0068,0.0027
1/12/2018,-0.061349693,-0.091776895,-0.0238,-0.0186
1/1/2019,0.017973856,0.078684402,0.029,-0.0045
1/2/2019,-0.029855538,0.029728889,0.0205,-0.0268
1/3/2019,-0.003259431,0.017924256,-0.0303,-0.041
1/4/2019,0.079229122,0.039313498,-0.0174,0.0214
1/5/2019,-0.086194168,-0.065777731,-0.0131,-0.0234
1/6/2019,0.071669023,0.068930164,0.0028,-0.0072
1/7/2019,-0.03041935,0.013128152,-0.0193,0.0047
1/8/2019,-0.018103711,-0.018091627,-0.0236,-0.0476
1/9/2019,0.028883654,0.017181178,-0.0097,0.0674
1/10/2019,0.022791118,0.020431771,0.0029,-0.0192
1/11/2019,0.036232634,0.034047037,0.0078,-0.0201
1/12/2019,0.027519327,0.028589819,0.0073,0.0176
1/1/2020,-0.010583351,-0.001628093,-0.031,-0.0622
1/2/2020,-0.080060477,-0.084110484,0.0107,-0.0379
1/3/2020,-0.120014494,-0.125119282,-0.0488,-0.1397
1/4/2020,0.035661765,0.126844038,0.0249,-0.0123
1/5/2020,-0.01086262,0.04528182,0.0248,-0.0489
1/6/2020,-0.040697674,0.018388396,0.027,-0.0217
1/7/2020,0.098507295,0.055101321,-0.0232,-0.0138
1/8/2020,0.115549789,0.070064667,-0.0022,-0.0295
1/9/2020,-0.023076688,-0.03922797,0.0004,-0.0268
1/10/2020,-0.054690454,-0.027665786,0.0436,0.0421
1/11/2020,0.136158678,0.107545635,0.0582,0.0214
1/12/2020,0.012007984,0.037121459,0.0489,-0.0151
1/1/2021,-0.010680965,-0.011136661,0.0734,0.0296
1/2/2021,0.059517582,0.026091451,0.0206,0.0718
1/3/2021,0.057935158,0.042438633,-0.0237,0.074
1/4/2021,0.069478509,0.052425321,-0.0319,-0.0094
1/5/2021,0.056969697,0.005486489,-0.0025,0.0708
1/6/2021,-0.039905963,0.02221401,0.017,-0.0782
1/7/2021,0.000714284,0.022748055,-0.0399,-0.0176
1/8/2021,0.02625925,0.028990416,-0.0043,-0.0016
1/9/2021,-0.043082112,-0.047569169,0.0072,0.0508
1/10/2021,0.052319151,0.069143836,-0.0235,-0.0048
1/11/2021,-0.037019926,-0.008333706,-0.0132,-0.0044
1/12/2021,0.081045683,0.043612914,-0.0166,0.0328
1/1/2022,0.042477511,-0.052585165,-0.0594,0.1275
1/2/2022,0.013622673,-0.031360492,0.0223,0.0304
1/3/2022,0.110700224,0.035773288,-0.016,-0.018
1/4/2022,-0.084286689,-0.087956712,-0.0141,0.0619
1/5/2022,-0.021245406,5.31776E-05,-0.0185,0.0841
1/6/2022,-0.137327286,-0.08392,0.0209,-0.0597
1/7/2022,0.104536007,0.091116392,0.0281,-0.041
1/8/2022,-0.067283595,-0.042440128,0.0139,0.0031
1/9/2022,-0.03521889,-0.093395672,-0.0082,0.0003
1/10/2022,0.094914754,0.079863414,0.001,0.0805
1/11/2022,0.079159645,0.053752893,-0.034,0.0139
1/12/2022,-0.024088032,-0.058971474,-0.0064,0.0136
